latency,time,GPU1,GPU2,GPU3,GPU4,latency_sub,time_sub,fps,time_rel,,,,
16.8623,9840.8643,13.7187,12.4844,12.9336,13.9111,16.5528,19876.2891,60.41273984,2447.002,,,,
16.6494,9857.5137,13.8584,12.4961,13.0332,14.0156,16.4824,19892.7715,60.6707761,2463.4844,,,,
17.5634,9875.0771,14.1425,12.5449,12.9599,14.2705,17.3105,19910.082,57.76840646,2480.7949,,,,
16.6065,9891.6836,14.2579,12.8887,12.9893,13.9805,16.877,19926.959,59.25223677,2497.6719,,,,
17.4131,9909.0967,13.2646,12.4473,12.8721,13.913,17.2305,19944.1895,58.03662111,2514.9024,,,,
16.8808,9925.9775,13.3731,12.4522,12.9521,13.9766,16.3632,19960.5527,61.11274078,2531.2656,,,,
17.1651,9943.1426,13.4707,12.5196,13.1035,14.2861,16.9785,19977.5312,58.89801808,2548.2441,,,,
16.7256,9959.8682,13.8857,12.4834,13.0205,13.9385,17.5313,19995.0625,57.04083553,2565.7754,,,,
17.0205,9976.8887,13.9502,12.5029,13.0449,13.9131,16.9766,20012.0391,58.90460987,2582.752,,,,
16.5879,9993.4766,13.3808,12.4502,12.8653,14.0323,18.4179,20030.457,54.29500649,2601.1699,,,,
17.1357,10010.6123,13.7579,12.4912,12.834,13.8974,18.5313,20048.9883,53.96275491,2619.7012,,,,
16.459,10027.0713,13.6641,12.5322,12.8252,14.0049,17.25,20066.2383,57.97101449,2636.9512,,,,
16.5879,10043.6592,13.7256,12.4707,12.8886,14.0781,16.916,20083.1543,59.11563017,2653.8672,,,,
16.539,10060.1982,13.3271,12.4521,12.9072,14.1357,17.0078,20100.1621,58.79655217,2670.875,,,,
16.8096,10077.0078,14.3174,12.4697,12.8682,14.331,17.8496,20118.0117,56.0236644,2688.7246,,,,
16.5889,10093.5967,14.5498,12.5322,12.7558,13.9296,16.459,20134.4707,60.75703263,2705.1836,,,,
17.2109,10110.8076,13.9072,13.0391,12.9023,13.9648,17.5684,20152.0391,56.92037977,2722.752,,,,
16.3184,10127.126,13.3681,12.4951,12.7529,13.9638,17.2187,20169.2578,58.07639369,2739.9707,,,,
16.5957,10143.7217,14.0449,12.4443,12.8066,14.0449,17.0274,20186.2852,58.72887229,2756.9981,,,,
16.334,10160.0557,13.5175,12.4932,12.8282,13.8642,16.8593,20203.1445,59.31444366,2773.8574,,,,
16.4248,10176.4805,13.2452,12.416,13.1446,13.9414,18.1934,20221.3379,54.9649873,2792.0508,,,,
16.4131,10192.8936,13.9258,12.5147,13.0742,13.9307,16.8848,20238.2227,59.22486497,2808.9356,,,,
17.4121,10210.3057,13.3144,12.4756,12.8262,14.043,16.8496,20255.0723,59.34858988,2825.7852,,,,
16.5966,10226.9023,13.8467,12.4912,13.0342,14.1299,16.6914,20271.7637,59.91109194,2842.4766,,,,
16.4082,10243.3105,13.7412,12.4815,12.7832,13.9922,16.7715,20288.5352,59.62495901,2859.2481,,,,
16.5166,10259.8271,14.5879,12.4766,12.8564,13.9248,16.9218,20305.457,59.09536811,2876.1699,,,,
16.6368,10276.4639,14.5644,12.4873,12.8916,14.0078,17.7285,20323.1855,56.40635136,2893.8984,,,,
16.4228,10292.8867,13.4541,12.5468,12.8935,13.958,16.5372,20339.7227,60.46972885,2910.4356,,,,
17.1817,10310.0684,13.9454,12.4766,12.8399,14.0986,16.9863,20356.709,58.87097249,2927.4219,,,,
16.2548,10326.3232,13.7861,12.4346,12.9228,13.9531,17.0664,20373.7754,58.59466554,2944.4883,,,,
16.4151,10342.7383,14.127,12.4815,12.7979,13.9228,16.6074,20390.3828,60.21412142,2961.0957,,,,
16.5693,10359.3076,14.0586,12.4678,12.8281,13.9697,16.582,20406.9648,60.30635629,2977.6777,,,,
16.9776,10376.2852,13.7998,12.5439,12.875,14.0283,17.1211,20424.0859,58.40746214,2994.7988,,,,
16.4707,10392.7559,13.4619,12.5478,12.8594,14.087,16.5293,20440.6152,60.49862971,3011.3281,,,,
17.7216,10410.4775,13.3447,12.4648,12.9365,13.9424,16.502,20457.1172,60.59871531,3027.8301,,,,
16.7276,10427.2051,14.3945,12.5498,13.0225,13.9971,16.2383,20473.3555,61.58280116,3044.0684,,,,
17.0254,10444.2305,13.8243,12.4483,12.8486,14.1934,16.373,20489.7285,61.07616197,3060.4414,,,,
16.5556,10460.7861,13.9697,12.5108,12.874,14.0772,16.3906,20506.1191,61.01057923,3076.832,,,,
17.1787,10477.9648,13.5098,12.5127,13.0742,13.9219,17.2188,20523.3379,58.0760564,3094.0508,,,,
