latency,time,GPU1,GPU2,GPU3,GPU4,latency_sub,time_sub,fps,time_rel,,,,
17.2168,7718.1719,13.6206,12.4746,12.937,14.0249,16.419,15838.5469,60.90504903,1064.6407,,,,
16.7358,7734.9077,13.9228,12.5058,12.8427,13.9721,17.2431,15855.79,57.99421218,1081.8838,,,,
16.9815,7751.8892,13.8315,12.476,12.9985,13.8784,16.3008,15872.0908,61.34668237,1098.1846,,,,
16.8046,7768.6938,14.0727,12.5449,12.8628,13.9848,17.0479,15889.1387,58.65825116,1115.2325,,,,
16.5113,7785.2051,13.3994,12.4839,12.9273,14.0464,17.0644,15906.2031,58.60153302,1132.2969,,,,
16.458,7801.6631,13.8828,12.5586,12.9638,13.9257,17.3418,15923.5449,57.66414098,1149.6387,,,,
16.6391,7818.3022,14.0346,12.4917,12.9414,14.1318,17.166,15940.7109,58.2546895,1166.8047,,,,
16.4717,7834.7739,13.8545,12.4639,12.9195,13.9605,17.8135,15958.5244,56.13719932,1184.6182,,,,
17.0928,7851.8667,13.4229,12.601,12.8589,13.9321,16.5567,15975.0811,60.39850936,1201.1749,,,,
16.4175,7868.2842,13.645,12.4731,12.8584,13.8985,17.3359,15992.417,57.68376606,1218.5108,,,,
16.6064,7884.8906,13.4272,12.5654,12.7944,14.0786,16.8496,16009.2666,59.34858988,1235.3604,,,,
16.482,7901.3726,13.6572,12.8452,12.957,13.9511,16.7129,16025.9795,59.83402043,1252.0733,,,,
16.8955,7918.2681,13.8774,12.4737,12.9849,14.2745,16.4766,16042.4561,60.69213309,1268.5499,,,,
16.6562,7934.9243,14.3911,13.0449,12.9517,14.2154,17.3212,16059.7773,57.7327206,1285.8711,,,,
17.3028,7952.2271,13.373,12.5059,12.7959,14.1558,16.545,16076.3223,60.44122091,1302.4161,,,,
16.4365,7968.6636,13.7095,12.5576,12.9082,14.1201,16.5791,16092.9014,60.31690502,1318.9952,,,,
16.5815,7985.2451,13.8735,12.6724,12.8765,13.9541,16.4931,16109.3945,60.63141556,1335.4883,,,,
17.1397,8002.3848,13.4184,12.5445,13.0654,14.5664,16.461,16125.8555,60.74965069,1351.9493,,,,
16.5615,8018.9463,13.6836,12.5298,12.774,14.0776,16.2646,16142.1201,61.48322123,1368.2139,,,,
16.8208,8035.7671,13.8437,12.6856,12.8057,14.3027,18.0205,16160.1406,55.49235593,1386.2344,,,,
17.2212,8052.9883,13.395,12.5342,12.8286,13.8999,16.1299,16176.2705,61.99666458,1402.3643,,,,
16.4297,8069.418,13.5703,12.4927,12.9161,14.0376,16.3711,16192.6416,61.08325036,1418.7354,,,,
16.5,8085.918,13.6802,12.5005,12.7657,14.0019,16.4336,16209.0752,60.85093954,1435.169,,,,
16.6259,8102.5439,13.4082,12.5918,13.1172,14.023,16.6103,16225.6855,60.2036086,1451.7793,,,,
16.6568,8119.2007,14.5889,12.5512,13.1113,14.0606,16.5918,16242.2773,60.27073615,1468.3711,,,,
16.4736,8135.6743,13.7237,12.4043,12.8003,14.0323,17.2793,16259.5566,57.87271475,1485.6504,,,,
17.3345,8153.0088,13.5859,12.5923,13.0112,14.0307,16.5635,16276.1201,60.37371329,1502.2139,,,,
16.272,8169.2808,13.4346,12.4809,12.8681,13.9834,16.4971,16292.6172,60.61671445,1518.711,,,,
16.4375,8185.7183,13.8789,12.5777,12.7613,14.0181,16.2646,16308.8818,61.48322123,1534.9756,,,,
16.5796,8202.2979,14.022,12.5053,13.0195,14.0532,16.3155,16325.1973,61.29141001,1551.2911,,,,
16.6796,8218.9775,13.3379,12.4766,13.0733,14.123,16.4179,16341.6152,60.90912967,1567.709,,,,
17.4932,8236.4707,14.1494,12.5039,12.7598,14.4736,17.1192,16358.7344,58.41394458,1584.8282,,,,
17.4746,8253.9453,14.0996,12.6269,12.9316,14.2246,16.0722,16374.8066,62.2192357,1600.9004,,,,
16.4414,8270.3867,13.54,12.7744,13.0234,14.0713,16.7364,16391.543,59.75000597,1617.6368,,,,
16.4756,8286.8623,13.7334,12.6484,13.167,13.8672,16.6328,16408.1758,60.12216825,1634.2696,,,,
