latency,time,GPU1,GPU2,latency_sub,fps,time_sub,time_rel,,,,
29.08,9373.457,26.1729,27.0489,29.6582,33.71748791,18866.0918,4143.7461,,,,
29.251,9402.708,25.9082,26.9326,29.3652,34.05391416,18895.457,4173.1113,,,,
29.8145,9432.5225,26.0273,26.5957,29.4492,33.95677981,18924.9062,4202.5605,,,,
28.4072,9460.9297,26.0302,26.4512,29.6172,33.76416407,18954.5234,4232.1777,,,,
28.791,9489.7207,25.875,26.7412,28.7578,34.77317458,18983.2812,4260.9355,,,,
29.7002,9519.4209,26.1114,26.6446,29.1739,34.27721354,19012.4551,4290.1094,,,,
28.6162,9548.0371,26.3847,26.6084,30.2402,33.06856436,19042.6953,4320.3496,,,,
29.1973,9577.2344,26.1172,26.833,29.5313,33.86237653,19072.2266,4349.8809,,,,
29.8779,9607.1123,26.3633,26.7295,29.1152,34.34632082,19101.3418,4378.9961,,,,
28.8438,9635.9561,25.9609,26.8242,29.9453,33.39422213,19131.2871,4408.9414,,,,
28.8281,9664.7842,26.168,26.6436,29.2813,34.15148918,19160.5684,4438.2227,,,,
30.2959,9695.0801,26.5322,26.8077,29.0019,34.48049955,19189.5703,4467.2246,,,,
29.332,9724.4121,26.0957,27.3105,29.9609,33.37683447,19219.5312,4497.1855,,,,
29.4141,9753.8262,26.0673,27.1338,29.375,34.04255319,19248.9062,4526.5605,,,,
30.4326,9784.2588,26.1445,26.9345,28.9981,34.48501798,19277.9043,4555.5586,,,,
29.0498,9813.3086,26.0518,27.0351,30.1074,33.21442569,19308.0117,4585.666,,,,
29.0478,9842.3564,26.168,26.9795,28.8262,34.69066335,19336.8379,4614.4922,,,,
29.5977,9871.9541,25.8037,26.6708,29.0859,34.38091996,19365.9238,4643.5781,,,,
28.9609,9900.915,26.1621,26.9707,30.7657,32.5037298,19396.6895,4674.3438,,,,
28.8877,9929.8027,26.0947,26.6357,29.4863,33.914055,19426.1758,4703.8301,,,,
29.6104,9959.4131,25.9219,26.667,29.4004,34.01314268,19455.5762,4733.2305,,,,
28.5771,9987.9902,26.0303,26.5908,29.6152,33.76644426,19485.1914,4762.8457,,,,
28.834,10016.8242,26.2325,26.709,28.7891,34.73536859,19513.9805,4791.6348,,,,
29.3994,10046.2236,25.835,26.624,28.9062,34.59465443,19542.8867,4820.541,,,,
28.7705,10074.9941,26.2285,26.7519,29.6133,33.76861073,19572.5,4850.1543,,,,
29.1182,10104.1123,26.043,26.7715,29.1895,34.25889447,19601.6895,4879.3438,,,,
29.6738,10133.7861,26.2442,26.75,29.4804,33.92084232,19631.1699,4908.8242,,,,
28.7051,10162.4912,26.2597,26.6699,29.9297,33.41162791,19661.0996,4938.7539,,,,
29.0498,10191.541,26.166,26.9013,28.7227,34.81566844,19689.8223,4967.4766,,,,
29.5117,10221.0527,26.2598,26.7617,28.8339,34.68139933,19718.6562,4996.3105,,,,
28.5244,10249.5771,26.3272,26.5498,29.7989,33.55828571,19748.4551,5026.1094,,,,
28.7862,10278.3633,25.999,26.543,29.7402,33.62452169,19778.1953,5055.8496,,,,
29.8935,10308.2568,25.8916,26.8974,29.5645,33.82435015,19807.7598,5085.4141,,,,
28.5293,10336.7861,26.3438,26.5732,29.955,33.38340845,19837.7148,5115.3691,,,,
28.8301,10365.6162,25.8047,26.8135,28.8477,34.66480863,19866.5625,5144.2168,,,,
29.5977,10395.2139,26.0195,26.8106,28.9746,34.51298724,19895.5371,5173.1914,,,,
28.789,10424.0029,26.002,26.8281,29.7012,33.66867332,19925.2383,5202.8926,,,,
29.128,10453.1309,26.1533,26.8037,28.9355,34.55962399,19954.1738,5231.8281,,,,
29.748,10482.8789,26.4394,26.7383,29.502,33.89600705,19983.6758,5261.3301,,,,
28.7305,10511.6094,26.0381,26.6904,30.0762,33.24888118,20013.752,5291.4063,,,,
28.9453,10540.5547,26.4864,26.8554,29.2578,34.17891981,20043.0098,5320.6641,,,,
29.7803,10570.335,26.5371,26.9111,29.0918,34.3739473,20072.1016,5349.7559,,,,
28.7343,10599.0693,26.3213,26.8067,29.8652,33.48378715,20101.9668,5379.6211,,,,
29.3399,10628.4092,26.6523,26.8603,29.4492,33.95677981,20131.416,5409.0703,,,,
30.083,10658.4922,25.8701,26.8154,29.1406,34.31638333,20160.5566,5438.2109,,,,
28.6055,10687.0977,26.3418,26.7051,29.5899,33.79531529,20190.1465,5467.8008,,,,
28.9697,10716.0674,26.5322,26.6963,28.9453,34.54792315,20219.0918,5496.7461,,,,
29.5264,10745.5938,25.958,26.6582,28.9922,34.49203579,20248.084,5525.7383,,,,
28.6054,10774.1992,26.2285,26.5401,30.2598,33.04714506,20278.3438,5555.9981,,,,
29.0293,10803.2285,26.3711,26.666,29.5117,33.884866,20307.8555,5585.5098,,,,
29.7363,10832.9648,26.3935,26.4629,29.3007,34.12887747,20337.1562,5614.8105,,,,
28.5088,10861.4736,25.9541,26.5039,29.7227,33.64431899,20366.8789,5644.5332,,,,
29.0127,10890.4863,26.5361,26.8886,29.1856,34.2634724,20396.0645,5673.7188,,,,
29.9219,10920.4082,26.1982,27.169,29.1503,34.30496427,20425.2148,5702.8691,,,,
29.416,10949.8242,26.2198,27.3389,29.9649,33.37237902,20455.1797,5732.834,,,,
29.5654,10979.3896,26.1396,27.1172,28.8164,34.7024611,20483.9961,5761.6504,,,,
30.002,11009.3916,26.1191,26.8281,29.168,34.28414701,20513.1641,5790.8184,,,,
29.5186,11038.9102,25.9404,27.0303,29.6601,33.715328,20542.8242,5820.4785,,,,
29.0146,11067.9248,26.1348,26.8018,29.4356,33.97246871,20572.2598,5849.9141,,,,
29.6289,11097.5537,26.1182,26.7305,29.3457,34.07654273,20601.6055,5879.2598,,,,
29.1563,11126.71,26.0058,26.8242,29.8457,33.50566413,20631.4512,5909.1055,,,,
29.2578,11155.9678,26.1758,26.749,29.6894,33.68205487,20661.1406,5938.7949,,,,
29.7636,11185.7314,26.2636,26.5362,29.0391,34.43632895,20690.1797,5967.834,,,,
