latency,time,GPU1,GPU2,latency_sub,fps,time_sub,time_rel
29.5908,7296.5566,25.8569,26.5831,30.459,32.83101875,21065.5,2892.502
28.7989,7325.3555,25.9605,26.6338,28.873,34.63443355,21094.373,2921.375
28.8569,7354.2124,26.1797,26.602,29.3243,34.10141078,21123.6973,2950.6993
29.6279,7383.8403,26.0708,26.6953,29.7715,33.58917085,21153.4688,2980.4708
28.8228,7412.6631,26.0342,26.7876,29.5,33.89830508,21182.9688,3009.9708
28.9106,7441.5737,26.2456,26.6265,29.5214,33.87373228,21212.4902,3039.4922
29.8076,7471.3813,26.1909,26.7304,30.293,33.01092662,21242.7832,3069.7852
28.6221,7500.0034,26.0703,26.5577,29.1035,34.36012851,21271.8867,3098.8887
29.1304,7529.1338,26.1924,27.0078,29.1094,34.35316427,21300.9961,3127.9981
29.6431,7558.7769,26.1362,26.75,29.8711,33.47717359,21330.8672,3157.8692
28.5307,7587.3076,25.958,26.5371,28.8711,34.63671284,21359.7383,3186.7403
28.9776,7616.2852,26.1128,26.7202,29.5859,33.7998844,21389.3242,3216.3262
29.7138,7645.999,25.999,26.6929,29.9512,33.3876439,21419.2754,3246.2774
28.6685,7674.6675,26.4121,26.6294,29.2246,34.21774806,21448.5,3275.502
28.8598,7703.5273,26.0352,26.7138,28.9941,34.48977551,21477.4941,3304.4961
29.4693,7732.9966,26.0288,26.7178,29.9844,33.35067568,21507.4785,3334.4805
28.7363,7761.7329,25.9302,26.6314,29.2149,34.22910912,21536.6934,3363.6954
29.1465,7790.8794,26.1329,26.7407,29.5839,33.80216942,21566.2773,3393.2793
29.8501,7820.7295,26.248,26.6846,30.2598,33.04714506,21596.5371,3423.5391
28.9092,7849.6387,26.1118,26.8013,28.9297,34.56655271,21625.4668,3452.4688
29.2036,7878.8423,26.0346,27.081,28.9629,34.52692928,21654.4297,3481.4317
29.4038,7908.2461,26.4961,26.5459,29.9394,33.40080296,21684.3691,3511.3711
28.8784,7937.1245,26.0337,26.8208,29.2227,34.21997283,21713.5918,3540.5938
28.9888,7966.1133,26.2432,26.7212,29.2227,34.21997283,21742.8145,3569.8165
29.6748,7995.7881,26.4712,26.5766,29.6621,33.71305471,21772.4766,3599.4786
29.0195,8024.8076,26.2632,26.9893,29.4257,33.98389843,21801.9023,3628.9043
29.1143,8053.9219,25.9819,26.9361,29.3282,34.09687604,21831.2305,3658.2325
29.4697,8083.3916,26.3775,26.5815,29.8496,33.50128645,21861.0801,3688.0821
28.7666,8112.1582,26.1743,26.7608,29.3887,34.02668373,21890.4688,3717.4708
28.9927,8141.1509,26.0103,26.7364,29.2832,34.1492733,21919.752,3746.754
29.6636,8170.8145,26.0982,26.6597,29.8906,33.45533378,21949.6426,3776.6446
28.8525,8199.667,25.8555,26.7954,29.7793,33.58037294,21979.4219,3806.4239
28.832,8228.499,26.0059,26.6748,29.2754,34.15837188,22008.6973,3835.6993
29.5469,8258.0459,26.1836,26.7285,29.8047,33.55175526,22038.502,3865.504
