timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:53.768, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:53.773, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:54.577, Tesla T4, 0, 80 %, 175 MiB, 77.63 W
2024/01/07 18:56:54.582, Tesla T4, 1, 92 %, 173 MiB, 75.95 W
2024/01/07 18:56:54.587, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:54.591, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:55.394, Tesla T4, 0, 83 %, 175 MiB, 76.82 W
2024/01/07 18:56:55.404, Tesla T4, 1, 91 %, 173 MiB, 71.81 W
2024/01/07 18:56:55.411, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:55.415, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:56.221, Tesla T4, 0, 81 %, 175 MiB, 57.28 W
2024/01/07 18:56:56.233, Tesla T4, 1, 94 %, 173 MiB, 59.59 W
2024/01/07 18:56:56.240, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:56.244, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:57.048, Tesla T4, 0, 84 %, 175 MiB, 51.64 W
2024/01/07 18:56:57.053, Tesla T4, 1, 92 %, 173 MiB, 63.22 W
2024/01/07 18:56:57.060, Tesla T4, 2, 0 %, 9 MiB, 35.26 W
2024/01/07 18:56:57.065, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:57.868, Tesla T4, 0, 80 %, 175 MiB, 60.71 W
2024/01/07 18:56:57.874, Tesla T4, 1, 91 %, 173 MiB, 69.31 W
2024/01/07 18:56:57.882, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:56:57.886, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:58.690, Tesla T4, 0, 81 %, 175 MiB, 71.87 W
2024/01/07 18:56:58.695, Tesla T4, 1, 92 %, 173 MiB, 71.57 W
2024/01/07 18:56:58.700, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:56:58.704, Tesla T4, 3, 0 %, 9 MiB, 36.12 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:56:59.508, Tesla T4, 0, 79 %, 175 MiB, 72.83 W
2024/01/07 18:56:59.514, Tesla T4, 1, 91 %, 173 MiB, 74.70 W
2024/01/07 18:56:59.523, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:56:59.527, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:00.330, Tesla T4, 0, 79 %, 175 MiB, 78.11 W
2024/01/07 18:57:00.342, Tesla T4, 1, 91 %, 173 MiB, 76.05 W
2024/01/07 18:57:00.353, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:57:00.357, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:01.162, Tesla T4, 0, 80 %, 175 MiB, 78.59 W
2024/01/07 18:57:01.173, Tesla T4, 1, 94 %, 173 MiB, 71.52 W
2024/01/07 18:57:01.185, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:57:01.189, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:01.994, Tesla T4, 0, 83 %, 175 MiB, 70.47 W
2024/01/07 18:57:02.003, Tesla T4, 1, 92 %, 173 MiB, 60.36 W
2024/01/07 18:57:02.015, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:57:02.019, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:02.823, Tesla T4, 0, 84 %, 175 MiB, 70.18 W
2024/01/07 18:57:02.834, Tesla T4, 1, 94 %, 173 MiB, 61.62 W
2024/01/07 18:57:02.844, Tesla T4, 2, 0 %, 9 MiB, 34.78 W
2024/01/07 18:57:02.849, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:03.653, Tesla T4, 0, 82 %, 175 MiB, 53.35 W
2024/01/07 18:57:03.663, Tesla T4, 1, 92 %, 173 MiB, 65.88 W
2024/01/07 18:57:03.673, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 18:57:03.678, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:04.483, Tesla T4, 0, 79 %, 175 MiB, 56.21 W
2024/01/07 18:57:04.494, Tesla T4, 1, 91 %, 173 MiB, 68.63 W
2024/01/07 18:57:04.504, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 18:57:04.510, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:05.313, Tesla T4, 0, 80 %, 175 MiB, 69.22 W
2024/01/07 18:57:05.324, Tesla T4, 1, 92 %, 173 MiB, 70.80 W
2024/01/07 18:57:05.334, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:57:05.338, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:06.142, Tesla T4, 0, 79 %, 175 MiB, 69.12 W
2024/01/07 18:57:06.155, Tesla T4, 1, 92 %, 173 MiB, 71.47 W
2024/01/07 18:57:06.164, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:57:06.168, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:06.971, Tesla T4, 0, 79 %, 175 MiB, 69.12 W
2024/01/07 18:57:06.983, Tesla T4, 1, 92 %, 173 MiB, 71.86 W
2024/01/07 18:57:06.993, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 18:57:06.997, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:07.801, Tesla T4, 0, 79 %, 175 MiB, 73.60 W
2024/01/07 18:57:07.814, Tesla T4, 1, 92 %, 173 MiB, 74.41 W
2024/01/07 18:57:07.824, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:57:07.828, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:08.632, Tesla T4, 0, 80 %, 175 MiB, 75.86 W
2024/01/07 18:57:08.637, Tesla T4, 1, 91 %, 173 MiB, 74.22 W
2024/01/07 18:57:08.642, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 18:57:08.646, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:09.451, Tesla T4, 0, 79 %, 175 MiB, 78.30 W
2024/01/07 18:57:09.457, Tesla T4, 1, 91 %, 173 MiB, 73.50 W
2024/01/07 18:57:09.466, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 18:57:09.470, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:10.274, Tesla T4, 0, 80 %, 175 MiB, 80.08 W
2024/01/07 18:57:10.285, Tesla T4, 1, 92 %, 173 MiB, 71.86 W
2024/01/07 18:57:10.296, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:57:10.300, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:11.103, Tesla T4, 0, 79 %, 175 MiB, 78.02 W
2024/01/07 18:57:11.115, Tesla T4, 1, 91 %, 173 MiB, 71.81 W
2024/01/07 18:57:11.126, Tesla T4, 2, 0 %, 9 MiB, 35.17 W
2024/01/07 18:57:11.131, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:11.934, Tesla T4, 0, 79 %, 175 MiB, 80.27 W
2024/01/07 18:57:11.945, Tesla T4, 1, 91 %, 173 MiB, 72.73 W
2024/01/07 18:57:11.956, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
