timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:44.533, Tesla T4, 0, 100 %, 287 MiB, 66.42 W
2024/01/07 19:34:44.538, Tesla T4, 1, 98 %, 285 MiB, 73.88 W
2024/01/07 19:34:44.544, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:44.549, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:45.358, Tesla T4, 0, 100 %, 287 MiB, 72.73 W
2024/01/07 19:34:45.363, Tesla T4, 1, 99 %, 285 MiB, 72.25 W
2024/01/07 19:34:45.374, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 19:34:45.381, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:46.190, Tesla T4, 0, 100 %, 287 MiB, 72.25 W
2024/01/07 19:34:46.196, Tesla T4, 1, 98 %, 285 MiB, 69.31 W
2024/01/07 19:34:46.204, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:34:46.209, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:47.018, Tesla T4, 0, 100 %, 287 MiB, 75.18 W
2024/01/07 19:34:47.023, Tesla T4, 1, 99 %, 285 MiB, 63.51 W
2024/01/07 19:34:47.033, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:47.037, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:47.846, Tesla T4, 0, 100 %, 287 MiB, 58.05 W
2024/01/07 19:34:47.851, Tesla T4, 1, 98 %, 285 MiB, 67.96 W
2024/01/07 19:34:47.862, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 19:34:47.867, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:48.678, Tesla T4, 0, 100 %, 287 MiB, 67.91 W
2024/01/07 19:34:48.683, Tesla T4, 1, 98 %, 285 MiB, 73.74 W
2024/01/07 19:34:48.689, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:34:48.693, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:49.505, Tesla T4, 0, 100 %, 287 MiB, 71.96 W
2024/01/07 19:34:49.511, Tesla T4, 1, 98 %, 285 MiB, 72.92 W
2024/01/07 19:34:49.521, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:49.525, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
