timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:35.294, Tesla T4, 3, 0 %, 9 MiB, 37.16 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:36.093, Tesla T4, 0, 54 %, 191 MiB, 70.95 W
2024/01/08 11:00:36.097, Tesla T4, 1, 98 %, 155 MiB, 70.61 W
2024/01/08 11:00:36.101, Tesla T4, 2, 0 %, 9 MiB, 35.53 W
2024/01/08 11:00:36.108, Tesla T4, 3, 0 %, 9 MiB, 37.06 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:36.908, Tesla T4, 0, 65 %, 191 MiB, 72.58 W
2024/01/08 11:00:36.913, Tesla T4, 1, 97 %, 155 MiB, 70.80 W
2024/01/08 11:00:36.917, Tesla T4, 2, 0 %, 9 MiB, 35.44 W
2024/01/08 11:00:36.921, Tesla T4, 3, 0 %, 9 MiB, 37.06 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:37.718, Tesla T4, 0, 80 %, 191 MiB, 68.44 W
2024/01/08 11:00:37.723, Tesla T4, 1, 98 %, 155 MiB, 68.78 W
2024/01/08 11:00:37.727, Tesla T4, 2, 0 %, 9 MiB, 35.53 W
2024/01/08 11:00:37.732, Tesla T4, 3, 0 %, 9 MiB, 36.97 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:38.533, Tesla T4, 0, 93 %, 191 MiB, 79.41 W
2024/01/08 11:00:38.541, Tesla T4, 1, 98 %, 155 MiB, 72.01 W
2024/01/08 11:00:38.546, Tesla T4, 2, 0 %, 9 MiB, 35.44 W
2024/01/08 11:00:38.550, Tesla T4, 3, 0 %, 9 MiB, 36.97 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:39.352, Tesla T4, 0, 83 %, 191 MiB, 73.07 W
2024/01/08 11:00:39.357, Tesla T4, 1, 98 %, 155 MiB, 76.38 W
2024/01/08 11:00:39.363, Tesla T4, 2, 0 %, 9 MiB, 35.44 W
2024/01/08 11:00:39.367, Tesla T4, 3, 0 %, 9 MiB, 36.97 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:40.167, Tesla T4, 0, 54 %, 191 MiB, 40.24 W
2024/01/08 11:00:40.176, Tesla T4, 1, 100 %, 155 MiB, 58.14 W
2024/01/08 11:00:40.180, Tesla T4, 2, 0 %, 9 MiB, 35.44 W
2024/01/08 11:00:40.184, Tesla T4, 3, 0 %, 9 MiB, 36.97 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:40.982, Tesla T4, 0, 55 %, 191 MiB, 39.76 W
2024/01/08 11:00:40.986, Tesla T4, 1, 100 %, 155 MiB, 68.53 W
2024/01/08 11:00:40.994, Tesla T4, 2, 0 %, 9 MiB, 35.46 W
2024/01/08 11:00:41.000, Tesla T4, 3, 0 %, 9 MiB, 36.97 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:41.798, Tesla T4, 0, 54 %, 191 MiB, 40.72 W
2024/01/08 11:00:41.806, Tesla T4, 1, 98 %, 155 MiB, 69.02 W
2024/01/08 11:00:41.810, Tesla T4, 2, 0 %, 9 MiB, 35.53 W
2024/01/08 11:00:41.814, Tesla T4, 3, 0 %, 9 MiB, 36.97 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/08 11:00:42.613, Tesla T4, 0, 68 %, 191 MiB, 48.87 W
2024/01/08 11:00:42.617, Tesla T4, 1, 97 %, 155 MiB, 66.32 W
2024/01/08 11:00:42.624, Tesla T4, 2, 0 %, 9 MiB, 35.46 W
2024/01/08 11:00:42.628, Tesla T4, 3, 0 %, 9 MiB, 36.87 W
