latency,time,GPU1,GPU2
27.9375,16715.0762,25.0234,26.4785
27.9883,16743.0645,25.0156,26.4649
28.0996,16771.1641,25.0117,26.4726
27.9902,16799.1543,24.9922,26.4336
28.125,16827.2793,24.9804,26.5782
28.1133,16855.3926,25.0332,26.5078
27.9941,16883.3867,25.0313,26.4649
27.8965,16911.2832,25.0215,26.4902
28.5352,16939.8184,24.9766,26.5019
27.9492,16967.7676,25.0157,26.4902
27.959,16995.7266,25.0645,26.4473
28.4316,17024.1582,25.0352,26.5997
28.1992,17052.3574,25.0293,26.4707
28.3399,17080.6973,25.0996,26.5918
28.2675,17108.9648,24.9941,26.5156
28.2364,17137.2012,24.9981,26.4863
28.2832,17165.4844,25.0488,26.5176
28.2656,17193.75,25.1797,26.4804
28.2402,17221.9902,25.0508,26.4864
28.168,17250.1582,25.0742,26.4843
28.1914,17278.3496,25.0782,26.4493
28.2461,17306.5957,25.0274,26.4746
28.2266,17334.8223,25.0527,26.4824
28.1484,17362.9707,25.043,26.5156
28.3379,17391.3086,25.0293,26.5468
28.2656,17419.5742,25.039,26.5351
28.2442,17447.8184,24.9844,26.5352
28.3398,17476.1582,25.0859,26.5372
28.2773,17504.4355,25.0371,26.5175
28.2032,17532.6387,25.0488,26.4786
28.2304,17560.8691,25.1211,26.4961
28.5567,17589.4258,25.1426,26.4609
28.2207,17617.6465,25.0313,26.5117
28.168,17645.8145,25.041,26.4668
28.1933,17674.0078,25.0683,26.5098
28.1563,17702.1641,25.0489,26.418
28.1328,17730.2969,25.0547,26.4453
28.1562,17758.4531,25.0625,26.4922
28.2696,17786.7227,25.0293,26.4786
28.2109,17814.9336,25.0273,26.4726
28.1894,17843.123,25.1953,26.4863
28.2051,17871.3281,25.0391,26.4317
28.3242,17899.6523,25.0351,26.6308
28.3028,17927.9551,25.0703,26.5332
28.2383,17956.1934,25.125,26.5332
28.2402,17984.4336,25.0254,26.5176
28.2754,18012.709,25.0235,26.541
28.2383,18040.9473,25.0606,26.4922
28.2617,18069.209,25.0273,26.5489
28.3672,18097.5762,25.207,26.6484
28.3554,18125.9316,25.1328,26.623
28.2325,18154.1641,25.0488,26.498
28.2968,18182.4609,25.0175,26.5723
28.2129,18210.6738,25.0332,26.4766
28.2032,18238.877,25.0293,26.4844
28.3613,18267.2383,25.0351,26.4864
28.3144,18295.5527,25.1328,26.5722
28.25,18323.8027,25.0703,26.4883
28.2657,18352.0684,25.0606,26.5273
28.2246,18380.293,25.0234,26.4921
28.2539,18408.5469,25.0488,26.4883
28.1601,18436.707,25.0332,26.4726
28.1914,18464.8984,25.1699,26.4316
28.2696,18493.168,25.0332,26.4922
28.291,18521.459,25.0625,26.5664
28.25,18549.709,25.0704,26.5156
28.1914,18577.9004,25.0801,26.4649
28.1894,18606.0898,25.0488,26.4981
28.3262,18634.416,24.9863,26.5801
28.2715,18662.6875,25.0976,26.5293
28.2988,18690.9863,25.1231,26.5566
28.1797,18719.166,24.9766,26.4746
28.166,18747.332,25.0508,26.4472
28.291,18775.623,25.0118,26.539
28.2383,18803.8613,25.0586,26.4297
28.25,18832.1113,25.1269,26.541
28.1895,18860.3008,25.0703,26.4649
28.2558,18888.5566,25.0703,26.5019
28.1856,18916.7422,25.084,26.5039
28.1738,18944.916,25.0156,26.4394
28.9727,18973.8887,25.5156,26.4511
28.2636,19002.1523,25.5351,26.5098
28.2364,19030.3887,25.3594,26.5059
28.1894,19058.5781,25.168,26.4434
28.2735,19086.8516,25.2852,26.4668
28.332,19115.1836,25.1309,26.5567
28.5605,19143.7441,25.1699,26.543
28.3672,19172.1113,25.0761,26.5762
28.2032,19200.3145,25.0742,26.4394
28.2324,19228.5469,25.0664,26.5293
28.1679,19256.7148,25.0527,26.4668
28.295,19285.0098,25.0547,26.5684
28.2636,19313.2734,25.0449,26.4805
28.3125,19341.5859,25.0293,26.5742
28.3125,19369.8984,25.043,26.5976
28.2305,19398.1289,25.0742,26.4824
28.1602,19426.2891,25.0859,26.3867
28.2636,19454.5527,24.9922,26.5097
28.1368,19482.6895,25.0567,26.3926
28.3496,19511.0391,25.0625,26.5176
28.2675,19539.3066,25.0313,26.5
28.3106,19567.6172,25.0703,26.545
28.2832,19595.9004,25.5351,26.5371
28.3105,19624.2109,25.5,26.5215
28.2657,19652.4766,25.3809,26.5196
28.2422,19680.7188,25.2461,26.4903
28.33,19709.0488,25.2363,26.5273
28.2071,19737.2559,25.1387,26.4531
28.2226,19765.4785,25.0235,26.5176
28.1797,19793.6582,24.9903,26.4492
28.3906,19822.0488,25.0976,26.6113
28.5664,19850.6152,25.0293,26.8144
28.4883,19879.1035,25.082,26.7949
