latency,time,GPU1,GPU2,fps,time_rel,,
27.9004,12147.1074,25.709,26.457,35.84178005,8810.6035,,
28.0889,12175.1963,25.8555,26.5537,35.60125174,8838.6924,,
28.1142,12203.3105,25.6416,26.5478,35.56921413,8866.8066,,
27.67,12230.9805,25.3369,26.2188,36.14022407,8894.4766,,
27.7617,12258.7422,25.3955,26.1699,36.02084887,8922.2383,,
28.1914,12286.9336,25.4502,26.7187,35.47181055,8950.4297,,
28.2695,12315.2031,25.4228,26.7822,35.37381277,8978.6992,,
28.3955,12343.5986,25.4746,26.9043,35.21684774,9007.0947,,
27.9854,12371.584,25.8438,26.544,35.73291788,9035.0801,,
27.9316,12399.5156,25.668,26.5166,35.80174426,9063.0117,,
27.9278,12427.4434,25.6777,26.4931,35.80661563,9090.9395,,
28.2656,12455.709,25.7022,26.8398,35.37869354,9119.2051,,
28.1181,12483.8271,25.5215,26.6972,35.56428066,9147.3232,,
28.1885,12512.0156,25.7783,26.7119,35.47545985,9175.5117,,
28.0254,12540.041,25.7217,26.5898,35.68191712,9203.5371,,
28.0547,12568.0957,25.5781,26.5888,35.64465134,9231.5918,,
28.2441,12596.3398,25.6231,26.8536,35.40562454,9259.8359,,
28.0489,12624.3887,25.7158,26.6553,35.652022,9287.8848,,
28.2343,12652.623,25.8301,26.667,35.41791367,9316.1191,,
28.0381,12680.6611,25.5449,26.6416,35.66575481,9344.1572,,
27.9922,12708.6533,25.4092,26.4844,35.72423747,9372.1494,,
27.9688,12736.6221,25.8261,26.3642,35.75412603,9400.1182,,
27.6816,12764.3037,25.7539,26.2764,36.12507948,9427.7998,,
29.3994,12793.7031,25.7402,26.8077,34.01429961,9457.1992,,
28.2344,12821.9375,25.5625,26.7607,35.41778823,9485.4336,,
28.0996,12850.0371,25.5048,26.5664,35.5876952,9513.5332,,
27.9297,12877.9668,25.4424,26.4638,35.80417978,9541.4629,,
28.2754,12906.2422,25.3575,26.8398,35.3664316,9569.7383,,
28.0996,12934.3418,25.4112,26.6503,35.5876952,9597.8379,,
28.1025,12962.4443,25.9727,26.665,35.58402277,9625.9404,,
27.9981,12990.4424,25.6299,26.5196,35.71670935,9653.9385,,
28.0693,13018.5117,25.709,26.5156,35.62611109,9682.0078,,
28.2656,13046.7773,25.4765,26.8008,35.37869354,9710.2734,,
28.2266,13075.0039,25.4873,26.7852,35.42757541,9738.5,,
28.1357,13103.1396,25.6875,26.7119,35.54203379,9766.6357,,
27.9034,13131.043,25.7383,26.4658,35.83792656,9794.5391,,
28.0029,13159.0459,25.54,26.5157,35.71058712,9822.542,,
28.21,13187.2559,25.7275,26.7481,35.44842255,9850.752,,
28.1377,13215.3936,25.6934,26.7343,35.53950749,9878.8897,,
28.0468,13243.4404,25.793,26.624,35.65469144,9906.9365,,
28.0928,13271.5332,25.4951,26.6475,35.59630937,9935.0293,,
27.9092,13299.4424,25.4277,26.5068,35.83047884,9962.9385,,
27.7236,13327.166,25.6836,26.2881,36.07035161,9990.6621,,
28.0244,13355.1904,25.6982,26.5625,35.68319036,10018.6865,,
28.1846,13383.375,25.6612,26.7304,35.48036871,10046.8711,,
28.1787,13411.5537,25.4727,26.7431,35.48779752,10075.0498,,
27.9834,13439.5371,25.3487,26.5547,35.73547174,10103.0332,,
28.0166,13467.5537,25.4912,26.5723,35.69312479,10131.0498,,
28.0137,13495.5674,25.4141,26.5381,35.69681977,10159.0635,,
27.9062,13523.4736,25.4267,26.4551,35.83433072,10186.9697,,
27.7725,13551.2461,25.8681,26.3125,36.0068413,10214.7422,,
27.748,13578.9941,25.6758,26.3496,36.03863342,10242.4902,,
27.8643,13606.8584,25.7344,26.419,35.88821539,10270.3545,,
28.4033,13635.2617,25.6738,26.9922,35.20717663,10298.7578,,
28.1826,13663.4443,25.5,26.7656,35.4828866,10326.9404,,
28.2178,13691.6621,25.8409,26.79,35.43862385,10355.1582,,
28.0313,13719.6934,25.6807,26.5782,35.67440682,10383.1895,,
27.9384,13747.6318,25.7353,26.5078,35.79303038,10411.1279,,
28.1993,13775.8311,25.6758,26.7471,35.46187317,10439.3272,,
28.1679,13803.999,25.4941,26.7431,35.50140408,10467.4951,,
28.043,13832.042,25.4951,26.5986,35.65952288,10495.5381,,
27.9834,13860.0254,25.4014,26.5635,35.73547174,10523.5215,,
27.9385,13887.9639,25.5185,26.5479,35.79290227,10551.46,,
27.8574,13915.8213,25.914,26.3682,35.89710454,10579.3174,,
27.8398,13943.6611,25.7549,26.3642,35.91979827,10607.1572,,
28.2959,13971.957,25.6298,26.7412,35.34080909,10635.4531,,
