latency,time,GPU1,GPU2
27.5996,13726.083,26.081,25.9736
27.4619,13753.5449,26.0088,25.7959
27.3594,13780.9043,26.0049,25.5742
27.873,13808.7773,25.9629,26.2159
27.8213,13836.5986,26.1143,26.1475
27.6153,13864.2139,26.0771,26.0235
27.6728,13891.8867,26.0381,26.0429
27.6104,13919.4971,25.9804,25.9658
27.8642,13947.3613,26.0322,25.7315
27.8994,13975.2607,26.0322,26.2119
28.9043,14004.165,25.1494,27.1416
28.8057,14032.9707,25.1329,27.1142
29.2344,14062.2051,25.0616,26.9053
28.6904,14090.8955,24.8906,26.9434
28.5518,14119.4473,25.0049,26.8399
28.8681,14148.3154,24.955,27.1426
28.9014,14177.2168,24.7441,27.1631
28.8154,14206.0322,24.7578,27.085
28.7149,14234.7471,24.75,27.0195
28.6064,14263.3535,24.7763,26.9404
28.5039,14291.8574,24.7324,26.75
28.3672,14320.2246,24.7744,26.5928
28.2891,14348.5137,24.7822,26.5937
28.9619,14377.4756,24.7754,27.2471
30.1553,14407.6309,24.7598,27.2608
28.7978,14436.4287,24.7217,27.0176
28.707,14465.1357,24.836,26.9551
28.7315,14493.8672,24.7588,26.9668
28.4375,14522.3047,24.7305,26.7227
28.9658,14551.2705,24.7158,27.3057
28.8691,14580.1396,24.7237,27.1807
28.7715,14608.9111,24.8624,27.0351
27.6397,14636.5508,25.7236,26.042
27.5996,14664.1504,25.7842,26.0078
27.4853,14691.6357,26.1836,25.8515
27.877,14719.5127,26.1729,26.252
27.9365,14747.4492,26.003,26.2773
27.6944,14775.1436,26.0449,26.1162
27.5615,14802.7051,25.9375,26.0322
27.6162,14830.3213,26.0996,26.0244
27.5898,14857.9111,26.164,25.9424
27.419,14885.3301,26.0889,25.6904
27.8232,14913.1533,25.9199,26.1973
27.9151,14941.0684,25.872,26.3359
27.6777,14968.7461,26.2129,26.039
27.6553,14996.4014,26.1162,26.0263
27.6572,15024.0586,26.1347,25.9942
27.5439,15051.6025,25.96,25.9336
