latency,time,GPU1,GPU2,GPU3,GPU4,fps,time_rel,,,,,,,,,
17.3877,14421.917,13.247,12.6103,12.7539,13.9493,57.51191935,1013.2695,,16.2363,6542.1108,13.1259,12.4698,12.8135,14.1821,61.59038697,983.3374
15.9844,14437.9014,13.0938,12.5772,12.7451,14.0527,62.56099697,1029.2539,,16.0088,6558.1196,13.1636,12.4482,12.7613,14.1518,62.4656439,999.3462
15.8867,14453.7881,13.1357,12.5146,12.7588,13.8448,62.94573448,1045.1406,,15.8369,6573.9565,13.1494,12.4165,12.8765,14.0713,63.14367079,1015.1831
15.9736,14469.7617,13.1299,12.5693,12.6748,13.9824,62.60329544,1061.1142,,16.2334,6590.1899,13.0327,12.4556,12.7783,13.8774,61.60138973,1031.4165
17.7363,14487.498,13.1611,12.5527,12.6836,14.1748,56.38154519,1078.8505,,17.0245,6607.2144,13.065,12.4438,12.8232,13.878,58.73887633,1048.441
16.7813,14504.2793,13.1016,12.5352,12.6875,14.0595,59.59013902,1095.6318,,17.2119,6624.4263,13.0332,12.4204,12.7964,13.9526,58.09933825,1065.6529
17.3857,14521.665,13.1777,12.5644,12.7325,14.1885,57.51853535,1113.0175,,17.0879,6641.5142,13.0591,12.4863,12.7256,13.9307,58.52094172,1082.7408
17.5967,14539.2617,12.9902,12.6074,12.7568,14.2529,56.82883723,1130.6142,,15.8154,6657.3296,13.0825,12.4682,12.77,13.9756,63.22951048,1098.5562
16.876,14556.1377,13.0948,12.5371,12.7168,14.0879,59.25574781,1147.4902,,15.7549,6673.0845,13.0479,12.438,12.752,13.8408,63.47231655,1114.3111
16.8086,14572.9463,13.0586,12.6075,12.709,14.1279,59.49335459,1164.2988,,16.1552,6689.2397,13.0859,12.4658,12.771,14.1713,61.89957413,1130.4663
17.5654,14590.5117,13.0986,12.5136,12.7559,14.0195,56.93010122,1181.8642,,15.9385,6705.1782,13.1606,12.5435,12.7769,14.1309,62.74116134,1146.4048
17.0899,14607.6016,13.0947,12.5351,12.7461,14.1113,58.51409312,1198.9541,,16.085,6721.2632,13.0957,12.4546,12.812,14.1436,62.16972334,1162.4898
17.3232,14624.9248,13.1025,12.5254,12.75,14.1133,57.72605523,1216.2773,,15.9844,6737.2476,13.0503,12.4667,12.7173,14.2227,62.56099697,1178.4742
17.415,14642.3398,13.1592,12.4795,12.6992,13.8877,57.42176285,1233.6923,,15.9287,6753.1763,12.9922,12.5107,12.6987,14.0981,62.77976232,1194.4029
17.1426,14659.4824,13.1172,12.5283,12.7295,13.8955,58.33420835,1250.8349,,15.9702,6769.1465,13.1568,12.5156,12.6919,14.1177,62.61662346,1210.3731
17.2285,14676.7109,13.1074,12.6075,12.6806,13.918,58.04335839,1268.0634,,15.8926,6785.0391,13.0185,12.4926,12.7236,14.0532,62.92236638,1226.2657
17.3389,14694.0498,13.124,12.6016,12.6885,13.8213,57.67378553,1285.4023,,17.8115,6802.8506,13.0581,12.478,12.7549,14.1118,56.14350279,1244.0772
17.2529,14711.3027,13.1182,12.5235,12.7754,13.8857,57.96127028,1302.6552,,15.8515,6818.7021,13.038,12.5655,12.6807,14.0381,63.08551241,1259.9287
16.1953,14727.498,13.0801,12.4971,12.7578,13.8018,61.74630911,1318.8505,,15.835,6834.5371,13.1499,12.438,12.6924,14.0796,63.15124724,1275.7637
16.1631,14743.6611,13.0713,12.5596,12.6728,14.0888,61.86931962,1335.0136,,15.5899,6850.127,13.127,12.5757,12.8116,13.9116,64.14409329,1291.3536
16.2139,14759.875,13.1055,12.5683,12.8154,14.1075,61.67547598,1351.2275,,15.8305,6865.9575,13.1836,12.4907,12.7373,13.8785,63.1691987,1307.1841
