latency,time,GPU1,GPU2,GPU3,GPU4,fps,time_rel,,,,,,,,,
16.2012,8358.2012,13.1348,12.5986,12.8389,14.0009,61.72382293,839.8433,,16.0596,5800.6382,13.167,12.6699,12.7529,14.063,62.26805151,830.7334
16.666,8374.8672,13.1338,12.5381,12.8135,13.997,60.0024001,856.5093,,15.9209,5816.5591,13.0215,12.5307,12.8164,13.852,62.81051951,846.6543
17.7812,8392.6484,13.0528,12.6162,12.8047,14.0322,56.23917396,874.2905,,15.8989,5832.458,13.0259,12.5341,12.8526,13.9907,62.89743316,862.5532
16.6582,8409.3066,13.1152,12.5615,12.8691,14.0352,60.03049549,890.9487,,17.3408,5849.7988,13.0459,12.561,12.8423,14.0576,57.66746632,879.894
17.6211,8426.9277,13.2598,12.5986,12.8359,14.0811,56.75014613,908.5698,,15.8633,5865.6621,13.0566,12.4888,12.752,13.9859,63.03858592,895.7573
17.0743,8444.002,13.1416,12.6445,12.8116,13.9942,58.56755475,925.6441,,15.9004,5881.5625,13.0596,12.5484,12.8633,13.9946,62.89149958,911.6577
16.8876,8460.8896,13.0459,12.5889,12.7617,14.0352,59.21504536,942.5317,,15.9277,5897.4902,13.1304,12.5352,12.8984,13.9366,62.78370386,927.5854
15.919,8476.8086,13.04,12.6094,12.8213,13.96,62.81801621,958.4507,,16.0147,5913.5049,13.0957,12.6055,12.7817,13.9878,62.44263083,943.6001
15.834,8492.6426,13.083,12.6113,12.7636,13.9629,63.15523557,974.2847,,15.9707,5929.4756,12.9829,12.5825,12.789,13.9775,62.6146631,959.5708
15.9375,8508.5801,13.0879,12.5644,12.7334,14.0352,62.74509804,990.2222,,16.0893,5945.5649,12.9917,12.5723,12.8272,13.9194,62.15310797,975.6601
15.9541,8524.5342,13.0449,12.624,12.8418,14.0215,62.67981271,1006.1763,,16.1065,5961.6714,12.9815,12.5098,12.811,13.9859,62.08673517,991.7666
15.9922,8540.5264,13.0683,12.6191,12.7998,14.0059,62.53048361,1022.1685,,16.4829,5978.1543,13.1181,12.5244,12.8286,14.0322,60.66893568,1008.2495
15.9375,8556.4639,13.1543,12.5595,12.6934,13.999,62.74509804,1038.106,,15.9131,5994.0674,13.0498,12.5961,12.7715,13.9648,62.84130685,1024.1626
16.0859,8572.5498,13.0976,12.6435,12.8408,14.1807,62.16624497,1054.1919,,15.9512,6010.0186,12.9961,12.5889,12.73,14.0029,62.69120818,1040.1138
17.0654,8589.6152,13.1543,12.5674,12.749,14.0137,58.59809908,1071.2573,,16.0859,6026.1045,13.2016,12.6045,12.7236,14.0176,62.16624497,1056.1997
15.9922,8605.6074,13.0771,12.6162,12.6924,13.9795,62.53048361,1087.2495,,15.9409,6042.0454,13.0864,12.5601,12.8574,13.9863,62.73171527,1072.1406
15.7412,8621.3486,13.085,12.5957,12.7207,13.8759,63.52755825,1102.9907,,15.9317,6057.9771,13.1524,12.5938,12.8374,13.9668,62.76794065,1088.0723
17.1709,8638.5195,13.0606,12.6338,12.8066,13.8613,58.23806556,1120.1616,,15.9023,6073.8794,13.1157,12.5449,12.7373,13.9805,62.88398534,1103.9746
17.42,8655.9395,13.2061,12.5771,12.7773,13.8994,57.40528129,1137.5816,,15.9629,6089.8423,13.019,12.5693,12.7519,13.9907,62.64525869,1119.9375
17.0859,8673.0254,13.0761,12.5205,12.6856,13.9179,58.52779192,1154.6675,,16.6094,6106.4517,13.1309,12.6133,12.7745,14.0273,60.20687081,1136.5469
18.6924,8691.7178,13.0274,12.5869,12.8555,13.998,53.4976782,1173.3599,,15.9687,6122.4204,13.0733,12.6108,12.7788,13.9082,62.62250528,1152.5156
15.8447,8707.5625,12.9863,12.5898,12.8574,13.8887,63.11258654,1189.2046,,15.8926,6138.313,13.1079,12.538,12.7719,13.9277,62.92236638,1168.4082
16.9971,8724.5596,13.1074,12.5976,12.7979,13.9912,58.83356573,1206.2017,,15.8926,6154.2056,13.0127,12.5322,12.7452,14.002,62.92236638,1184.3008
16.0859,8740.6455,13.1347,12.6396,12.9238,14.0225,62.16624497,1222.2876,,16.0962,6170.3018,13.0185,12.5767,12.7944,13.9599,62.12646463,1200.397
16.3438,8756.9893,13.0899,12.705,12.7412,14.1035,61.18528127,1238.6314,,16.1157,6186.4175,12.999,12.5634,12.749,13.8784,62.0512916,1216.5127
16.1464,8773.1357,13.0957,12.5332,12.8077,13.9482,61.93331021,1254.7778,,16.2197,6202.6372,13.126,12.5361,12.8296,14.0142,61.65342146,1232.7324
16.0635,8789.1992,13.042,12.6367,12.7597,13.999,62.25293367,1270.8413,,17.3262,6219.9634,13.0742,12.5083,12.7651,13.9072,57.71606007,1250.0586
17.2647,8806.4639,13.0391,12.6494,12.8282,13.9755,57.92165517,1288.106,,15.7055,6235.6689,13.1181,12.5542,12.7295,13.9664,63.67196205,1265.7641
16.4072,8822.8711,13.0547,12.6006,12.6836,14.0468,60.94885172,1304.5132,,15.919,6251.5879,13.064,12.6152,12.8267,13.9917,62.81801621,1281.6831
15.6728,8838.5439,13.0821,12.6377,12.7657,13.9189,63.80480833,1320.186,,15.9297,6267.5176,13.0323,12.5141,12.7627,13.9283,62.77582126,1297.6128
15.9122,8854.4561,13.1338,12.6328,12.8428,13.956,62.84486118,1336.0982,,15.9521,6283.4697,13.0996,12.5439,12.7705,13.958,62.68767122,1313.5649
15.8574,8870.3135,13.082,12.5313,12.8877,13.9434,63.06204044,1351.9556,,15.9756,6299.4453,13.045,12.6064,12.7842,13.9892,62.59545807,1329.5405
15.9287,8886.2422,13.0742,12.6055,12.7773,14.001,62.77976232,1367.8843,,16.0239,6315.4692,13.0386,12.5464,12.8965,14.0112,62.40677987,1345.5644
16.1435,8902.3857,13.1787,12.5459,12.8174,13.9697,61.94443584,1384.0278,,16.0415,6331.5107,13.1465,12.5845,12.8072,13.9995,62.33831001,1361.6059
15.9034,8918.2891,13.0635,12.5762,12.8448,13.9629,62.8796358,1399.9312,,16.0293,6347.54,13.126,12.5401,12.7344,14.024,62.38575608,1377.6352
15.833,8934.1221,13.0762,12.6025,12.8525,13.8652,63.1592244,1415.7642,,16.6934,6364.2334,13.1133,12.5444,12.8213,13.9321,59.90391412,1394.3286
17.8222,8951.9443,13.0742,12.5302,12.8408,13.956,56.10979565,1433.5864,,15.8203,6380.0537,12.9947,12.5205,12.7603,13.8892,63.20992649,1410.1489
15.8604,8967.8047,13.0283,12.6143,12.7353,13.9786,63.05011223,1449.4468,,17.2769,6397.3306,13.2602,12.5293,12.7881,13.996,57.88075407,1427.4258
15.7344,8983.5391,13.0654,12.5322,12.6885,13.8369,63.55501322,1465.1812,,20.4135,6417.7441,13.0635,12.5874,12.8818,13.9565,48.98718985,1447.8393
19.1923,9002.7314,13.1572,12.6054,12.8603,14.0713,52.1042293,1484.3735,,15.9273,6433.6714,13.0318,12.6079,12.7203,13.9693,62.78528062,1463.7666
17.5284,9020.2598,13.2148,12.6621,12.7822,13.9717,57.0502727,1501.9019,,15.9307,6449.6021,13.023,12.5059,12.8237,13.9492,62.77188071,1479.6973
16.0302,9036.29,13.0263,12.6104,12.7695,13.9814,62.3822535,1517.9321,,16.1777,6465.7798,13.0908,12.5903,12.7627,13.893,61.81348399,1495.875
15.7598,9052.0498,13.0722,12.6709,12.8378,13.876,63.45258189,1533.6919,,15.7993,6481.5791,13.084,12.4497,12.7559,13.899,63.2939434,1511.6743
15.9404,9067.9902,13.0284,12.6103,12.7519,13.9277,62.73368297,1549.6323,,15.9756,6497.5547,13.0132,12.5738,12.7915,14.0161,62.59545807,1527.6499
15.9786,9083.9688,13.0479,12.6221,12.8193,13.958,62.58370571,1565.6109,,16.0557,6513.6104,13.0542,12.5439,12.79,14.0362,62.28317669,1543.7056
15.8828,9099.8516,12.9825,12.6104,12.8116,13.9668,62.96119072,1581.4937,,16.8798,6530.4902,13.0258,12.6049,12.7046,13.9702,59.24240809,1560.5854
16.5078,9116.3594,13.1114,12.6367,12.7949,13.919,60.57742401,1598.0015,,17.2495,6547.7397,13.1904,12.5244,12.8213,13.9741,57.97269486,1577.8349
17.498,9133.8574,13.082,12.6025,12.7432,14.0391,57.1493885,1615.4995,,16.6109,6564.3506,13.1279,12.5664,12.9463,13.8848,60.201434,1594.4458
17.044,9150.9014,13.0654,12.624,12.8428,14.0557,58.67167332,1632.5435,,17.5215,6581.8721,13.0606,12.5737,12.831,13.9258,57.07273921,1611.9673
16.0615,9166.9629,13.0781,12.5947,12.792,13.9091,62.26068549,1648.605,,17.8672,6599.7393,13.1274,12.5971,12.7919,13.9326,55.96847855,1629.8345
15.9404,9182.9033,12.96,12.5831,12.8554,13.9766,62.73368297,1664.5454,,17.0688,6616.8081,13.1226,12.5884,12.7793,13.9482,58.5864267,1646.9033
15.9024,9198.8057,13.087,12.6103,12.7452,13.9619,62.8835899,1680.4478,,17.3418,6634.1499,13.1235,12.5132,12.7959,13.9068,57.66414098,1664.2451
15.9052,9214.7109,13.1445,12.5918,12.7363,13.916,62.87251968,1696.353,,16.8189,6650.9688,13.1655,12.497,12.812,13.9014,59.45692049,1681.064
15.9073,9230.6182,13.0059,12.6035,12.7841,13.9668,62.86421957,1712.2603,,17.3212,6668.29,13.0737,12.5415,12.8374,13.8847,57.7327206,1698.3852
15.9326,9246.5508,13.0908,12.5947,12.8721,13.9492,62.76439501,1728.1929,,17.1075,6685.3975,13.0522,12.604,12.7261,13.9341,58.45389449,1715.4927
15.9883,9262.5391,13.0469,12.6114,12.873,14.0058,62.54573657,1744.1812,,16.6753,6702.0728,13.0596,12.4844,12.7393,13.9404,59.96893609,1732.168
15.9902,9278.5293,13.0361,12.5704,12.9844,13.9531,62.53830471,1760.1714,,15.8447,6717.9175,13.1279,12.5235,12.75,13.956,63.11258654,1748.0127
15.8232,9294.3525,13.0225,12.586,12.7237,13.9385,63.19834168,1775.9946,,15.8218,6733.7393,13.1143,12.521,12.8559,13.9258,63.20393381,1763.8345
18.6114,9312.9639,13.0097,12.5371,12.7461,13.997,53.73050926,1794.606,,15.8964,6749.6357,13.2202,12.6079,12.7076,14.0288,62.90732493,1779.7309
15.7343,9328.6982,13.043,12.6006,12.833,13.9658,63.55541715,1810.3403,,15.8736,6765.5093,13.0605,12.5152,12.7695,13.9639,62.99768169,1795.6045
16.8282,9345.5264,13.0752,12.5479,12.7578,13.9834,59.42406199,1827.1685,,15.9668,6781.4761,13.0337,12.58,12.7871,13.9902,62.62995716,1811.5713
17.0175,9362.5439,13.1689,12.5996,12.914,13.8838,58.76303805,1844.186,,16.0068,6797.4829,13.123,12.522,12.7647,13.9556,62.47344878,1827.5781
17.3077,9379.8516,13.1778,12.5245,12.7549,13.9131,57.7777521,1861.4937,,15.9961,6813.479,13.0972,12.5488,12.7403,13.9468,62.51523809,1843.5742
16.83,9396.6816,13.0557,12.5869,12.7509,13.9297,59.41770648,1878.3237,,16.5791,6830.0581,13.1001,12.5669,12.7885,13.9482,60.31690502,1860.1533
15.9551,9412.6367,13.0498,12.5479,12.7451,13.9248,62.6758842,1894.2788,,15.9893,6846.0474,13.1181,12.6255,12.7236,13.8882,62.54182485,1876.1426
16.0127,9428.6494,13.0635,12.626,12.7783,13.8847,62.45042997,1910.2915,,16.1679,6862.2153,13.0845,12.5825,12.7417,13.8487,61.85095158,1892.3105
15.8838,9444.5332,13.0528,12.5508,12.8018,13.9765,62.95722686,1926.1753,,19.2622,6881.4775,13.0557,12.5708,12.7802,13.9209,51.91514988,1911.5727
16.8096,9461.3428,13.0429,12.6045,12.8389,13.9112,59.48981534,1942.9849,,16.0391,6897.5166,13.1797,12.5786,12.8096,13.9209,62.34763796,1927.6118
17.2802,9478.623,13.0391,12.5498,12.8389,13.8974,57.86970058,1960.2651,,17.1387,6914.6553,13.2637,12.6972,12.812,13.9204,58.3474826,1944.7505
17.4063,9496.0293,13.083,12.6162,12.8154,14.0254,57.45046334,1977.6714,,16.4829,6931.1382,13.2012,12.5469,12.728,13.8701,60.66893568,1961.2334
16.9541,9512.9834,13.0948,12.6631,12.8545,13.9512,58.98278293,1994.6255,,15.918,6947.0562,13.3179,12.5986,12.8349,13.9448,62.82196256,1977.1514
17.374,9530.3574,13.1543,12.5957,12.8193,13.9288,57.55726948,2011.9995,,15.8613,6962.9175,13.0937,12.5913,12.7979,13.9741,63.04653465,1993.0127
16.6035,9546.9609,13.0488,12.6055,12.8809,13.8896,60.22826512,2028.603,,15.8657,6978.7832,13.0971,12.6181,12.8238,13.9468,63.02905009,2008.8784
15.8145,9562.7754,13.1319,12.5957,12.7646,13.9668,63.23310886,2044.4175,,17.1431,6995.9263,13.0576,12.6416,12.8477,14.021,58.33250696,2026.0215
16.0332,9578.8086,13.1924,12.5469,12.8076,13.9502,62.37058104,2060.4507,,17.3437,7013.27,13.1524,12.5904,12.7221,13.9892,57.65782388,2043.3652
16.0225,9594.8311,13.1485,12.5722,12.8252,13.9873,62.4122328,2076.4732,,16.3106,7029.5806,13.0196,12.6016,12.7597,13.9155,61.30982306,2059.6758
16.164,9610.9951,13.0401,12.5605,12.7129,14.0117,61.86587478,2092.6372,,15.9438,7045.5244,13.1411,12.7124,12.7929,14.0049,62.72030507,2075.6196
16.0694,9627.0645,13.0654,12.5244,12.7471,14,62.23007704,2108.7066,,15.9478,7061.4722,13.1347,12.6298,12.7637,13.9229,62.70457367,2091.5674
16.0722,9643.1367,13.043,12.541,12.9228,13.9277,62.2192357,2124.7788,,17.7744,7079.2466,13.0908,12.5561,12.9072,15.9228,56.26068953,2109.3418
15.8721,9659.0088,13.1954,12.5488,12.8731,13.9629,63.00363531,2140.6509,,15.9936,7095.2402,13.1831,12.6626,12.7207,14.0415,62.52501,2125.3354
17.1142,9676.123,13.0556,12.5635,12.7744,13.9492,58.43101051,2157.7651,,15.937,7111.1772,13.1479,12.6269,12.7612,14.0107,62.74706657,2141.2724
16.0557,9692.1787,13.039,12.5459,12.8487,14.0078,62.28317669,2173.8208,,15.9078,7127.085,13.1489,12.6245,12.7671,13.8789,62.86224368,2157.1802
15.8193,9707.998,13.0313,12.4903,12.6729,13.916,63.21392223,2189.6401,,16.0439,7143.1289,13.0713,12.6318,12.7934,14.0068,62.32898485,2173.2241
16.7588,9724.7568,13.0693,12.5557,12.8369,13.9052,59.67014345,2206.3989,,16.1309,7159.2598,13.039,12.5938,12.8237,13.9643,61.99282123,2189.355
17.5108,9742.2676,13.1475,12.6035,12.7109,13.9043,57.10761359,2223.9097,,16.0913,7175.3511,13.0791,12.5933,12.7338,13.9746,62.14538291,2205.4463
16.6992,9758.9668,13.0362,12.5586,12.6787,13.8711,59.88310817,2240.6089,,16.9883,7192.3394,13.0976,12.6015,12.7944,14.0718,58.86404172,2222.4346
19.3613,9778.3281,13.1885,12.5771,12.7647,13.9853,51.64942437,2259.9702,,15.8779,7208.2173,13.0835,12.6289,12.7193,13.9219,62.98062086,2238.3125
15.8125,9794.1406,13.0791,12.6133,12.7803,13.876,63.24110672,2275.7827,,16.0703,7224.2876,13.126,12.584,12.7739,13.939,62.22659191,2254.3828
16.8194,9810.96,12.999,12.5704,12.7344,13.8916,59.45515298,2292.6021,,15.9844,7240.272,13.0767,12.5933,12.7822,13.9517,62.56099697,2270.3672
17.1582,9828.1182,12.9639,12.6396,12.7509,13.9052,58.28117168,2309.7603,,15.9912,7256.2632,13.1035,12.5717,12.7095,13.9223,62.53439392,2286.3584
17.6963,9845.8145,13.0918,12.6113,12.7656,13.8818,56.50898775,2327.4566,,16.1284,7272.3916,13.1983,12.5673,12.6909,14.0122,62.0024305,2302.4868
16.5888,9862.4033,13.0664,12.5859,12.749,13.9785,60.2816358,2344.0454,,16.042,7288.4336,13.0693,12.5616,12.7949,13.9111,62.33636704,2318.5288
15.8526,9878.2559,13.0762,12.5606,12.8115,13.9307,63.08113496,2359.898,,15.9673,7304.4009,13.0484,12.5947,12.768,13.8769,62.62799597,2334.4961
15.831,9894.0869,12.9756,12.6475,12.7421,13.8672,63.16720359,2375.729,,15.8462,7320.2471,13.0644,12.6411,12.707,13.8984,63.10661231,2350.3423
15.9131,9910,13.0625,12.5654,12.6924,13.9892,62.84130685,2391.6421,,16.1035,7336.3506,13.1753,12.5259,12.8482,14.0479,62.09830161,2366.4458
17.5166,9927.5166,13.1055,12.6133,12.8057,13.8789,57.08870443,2409.1587,,16.0859,7352.4365,13.0117,12.6313,12.7456,13.9395,62.16624497,2382.5317
16.957,9944.4736,13.1953,12.7041,12.7881,13.8925,58.97269564,2426.1157,,15.9922,7368.4287,13.1621,12.6792,12.7495,13.9028,62.53048361,2398.5239
16.4688,9960.9424,13.0098,12.6015,12.8487,13.998,60.72087827,2442.5845,,16.0625,7384.4912,13.0732,12.627,12.7764,14.0318,62.25680934,2414.5864
17.4746,9978.417,13.0713,12.5713,12.8769,13.9443,57.22591647,2460.0591,,15.9131,7400.4043,13.0771,12.6192,12.7407,13.9448,62.84130685,2430.4995
17.1826,9995.5996,13.1172,12.6856,12.833,13.8682,58.19841002,2477.2417,,16.1719,7416.5762,13.1187,12.5747,12.7657,14.0635,61.8356532,2446.6714
16.918,10012.5176,13.0869,12.583,12.7695,13.8837,59.10864168,2494.1597,,15.7138,7432.29,13.0781,12.6469,12.8145,13.892,63.63833064,2462.3852
15.8506,10028.3682,12.9775,12.5439,12.8808,14.0196,63.08909442,2510.0103,,19.0821,7451.3721,13.1577,12.5591,12.8316,14.1304,52.40513361,2481.4673
15.9599,10044.3281,13.0049,12.5869,12.7148,14.0605,62.65703419,2525.9702,,15.9126,7467.2847,13.0366,12.6538,12.7671,13.957,62.84328142,2497.3799
15.9512,10060.2793,13.0225,12.6328,12.8125,14.0625,62.69120818,2541.9214,,16.2978,7483.5825,13.1221,12.6578,12.7363,13.8667,61.3579747,2513.6777
16.0156,10076.2949,13.0645,12.6513,12.8604,13.9717,62.43912186,2557.937,,18.9385,7502.521,13.0903,12.626,12.815,13.9351,52.80249228,2532.6162
16.1143,10092.4092,13.0957,12.5899,12.7305,14.0468,62.05668257,2574.0513,,,,,,,,,
15.9599,10108.3691,13.045,12.5732,12.6982,13.8857,62.65703419,2590.0112,,,,,,,,,
15.961,10124.3301,13.1103,12.6602,12.791,13.8818,62.652716,2605.9722,,,,,,,,,
15.9531,10140.2832,13.0127,12.5254,12.8398,13.9639,62.68374172,2621.9253,,,,,,,,,
